Station,Station ID,Station Name,Rail Lines Served,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
Lutherville,41,Lutherville,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",191933,Anchor,3,3,1,1,4,2,2,1,2,BaltimoreLink Core Bus,"093, CityLink Red","93, CityLink Red",,,,,807.85,,,,,,,,,,90,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,341,No,15,0,0,212,236,111,0.38,,3.48174505,70.0394,6,2,2 Inverted U,0,,No,DR-3.5 Low Density Resid.; RO - Office,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,35,6,6,0,5,0,0,,,"(39.428958, -76.625619)"
White Flint,96,White Flint,WMATA Metro,Montgomery County,,,,,,,,,,,1,3,WMATA Metrobus; Local Transit,"WMATA Metrobus, Ride On","WMATA Metrobus, Ride On",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.048598, -77.11211)"
College Park,71,College Park,MARC: Camden Line; WMATA Metro,City of College Park,"Town, Suburban, or Employment Center",368352,Anchor,2,1,3,4,3,5,1,2,5,Commuter Bus; WMATA Metrobus; Local Transit,"204, WMATA Metrobus College Park Routes, RTA 302/G, TheBus 14, TheBus 17, Shuttle-UM 104, Shuttle-UM 109","204, WMATA Metrobus College Park Routes, RTA 302/G, TheBus 14, TheBus 17, Shuttle-UM 104, Shuttle-UM 109",,165.92,,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,0,Yes,0,0,0,0,,,0,,0,115.883,3,40,40 Inverted U,20,,Yes,"M-X-T, T-D-O, C-S-C, I-1, R-55",,,,,,,,,,,887,147,"(38.977425, -76.928523)"
Owings Mills,4,Owings Mills,Metro,Baltimore County,"Town, Suburban, or Employment Center",175524,Anchor,5,3,1,5,2,4,3,1,2,BaltimoreLink Core Bus,"087, 089","87, 89",,,,3643.95,,,,,1383,,,,,116,,,,,70,,Grade Separated,No,Yes,Yes,Yes,Yes,Yes,Yes,2883,No,95,0,0,2232,381,17,0.64,1.92,6.978,21.6486,3,0,N/A,10,3,Yes,BM-CT Town Center Zoning,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,Master Plans\Baltimore Metro\Owings Mills\owingmills1995.pdf,0,1,0,0,0,8,2,232,,,"(39.407674, -76.781407)"
Gaithersburg,85,Gaithersburg,MARC: Brunswick Line,City of Gaithersburg,Urban Neighborhood,282045,Neighborhood,2,2,3,3,3,5,1,1,2,Local Transit,Ride On 57,Ride On 57,,,585.33,,,,,,,,,,,,,,,,,,On Grade,Yes,No,Yes,Yes,Yes,Yes,No,0,No,0,0,0,370,,0,0,,0,86.5942,5,0,N/A,0,,No,CBD - Historic (north side),http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,1150,561,"(39.141081, -77.193329)"
Woodberry,37,Woodberry,Light Rail,Baltimore City,Urban Neighborhood,157509,Neighborhood,3,3,3,3,3,5,4,1,2,BaltimoreLink Core Bus,021,21,,,,,392.84,,,,,,,,,,90,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,0,No,0,0,0,0,,,0,,0,105.696,4,3,3 Swerve,0,,No,I-2 Industrial,http://cityview.baltimorecity.gov/,,87,34,92,93,0,11,0,0,,,"(39.331573, -76.643693)"
Aberdeen,50,Aberdeen,MARC: Penn Line,Harford County,"Town, Suburban, or Employment Center",46940,Anchor,1,3,5,5,2,4,3,1,3,Commuter Bus; Local Transit,"420, Harford Transit LINK","420, Harford Transit LINK",204.58,,,,,,,,,,,,,,,0,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,No,279,No,8,0,0,284,279,98,1.489323843,,0.714820654,178.282,2,3,2 Hanger; 1 BR-Wheel Bender Combo,0,,Yes,Adopted Master Plan - form based zoning pending,http://www.harfordcountymd.gov/planningzoning/,Master Plans\MARC\Aberdeen\Final_Master Plan_Aberdeen_Report.pdf,0,14,82,106,0,4,0,0,,,"(39.5092, -76.163)"
Laurel Mainstreet,68,Laurel Mainstreet,MARC: Camden Line,City of Laurel,"Town, Suburban, or Employment Center",147126,Anchor,2,2,5,4,2,5,1,1,2,Local Transit,RTA 409,RTA 409,,678.75,,,,,,,,,,,,,,,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,Yes,No,470,No,14,0,0,443,497,112,0.843175363,,2.033831629,85.3208,3,8,8 Inverted U,10,6,Yes,Municipal density,http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,Master Plans\MARC\Laurel Mainstreet\US1Manual_AdoptedJuly2009.pdf,,,,,,,,,566,159,"(39.101864, -76.841347)"
Cromwell Station/Glen Burnie,20,Cromwell Station/Glen Burnie,Light Rail,Anne Arundel County,"Town, Suburban, or Employment Center",188867,Anchor,4,3,3,3,4,2,2,1,3,BaltimoreLink Core Bus; Commuter Bus,"069, 070, 215","69, 70, 215",,,,,1102.48,,,,,,,,,,45,,,,,36,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,707,No,16,0,0,152,152,100,0.57,,7.21875,89.1411,6,2,1 Inverted U; 1 Bicycle Shaped,10,2,Yes,W1 - Industrial Park,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0,14,9,11,0,2,0,0,,,"(39.170873, -76.632466)"
Martin State Airport,52,Martin State Airport,MARC: Penn Line,Baltimore County,"Town, Suburban, or Employment Center",135189,Anchor,2,3,2,2,1,4,1,1,3,BaltimoreLink Core Bus,"059, 160","59, 160",391.83,,,,,,,,,,,,,,,3,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,No,348,No,6,0,0,290,316,109,1.012118274,,0.891604257,33.1095,1,0,N/A,10,1,No,"BM-CT high density commercial, residential",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,1,1,1,0,2,0,0,,,"(39.338027, -76.421235)"
Riverdale,72,Riverdale,MARC: Camden Line,Prince Georges County,Urban Neighborhood,364380,Neighborhood,1,1,2,1,4,3,2,1,2,Local Transit,TheBus 14,TheBus 14,,59.33,,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,108,No,4,0,0,13,30,233,2.07028754,,0.467348545,147.72,6,2,2 Other,1,,No,"M-U-TC, R-55",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,1729,1516,"(38.962534, -76.935106)"
Cold Spring Lane,38,Cold Spring Lane,Light Rail,Baltimore City,Urban Neighborhood,592208,Neighborhood,3,2,5,4,3,5,1,1,2,BaltimoreLink Core Bus,"028, 038","28, 38",,,,,601.93,,,,,,,,,,90,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,No,0,No,0,0,0,0,,,0,,0,45.844,4,0,N/A,0,,Yes,I-2 TOD-2 Transit Oriented Development,http://cityview.baltimorecity.gov/,,0,9,2,2,0,4,0,0,,,"(39.344278, -76.648494)"
BWI Airport,18,BWI Airport,Light Rail,Anne Arundel County,"Town, Suburban, or Employment Center",202689,Regional,4,3,4,2,1,1,1,1,4,BaltimoreLink Core Bus; Commuter Bus; Local Transit,"075, 201, RTA 501","75, 201, RTA 501",,,,,1016.94,,,,,,,,,,45,,,,,36,Grade Separated,Yes,Yes,No,Yes,Yes,Yes,Yes,0,No,0,0,0,0,,,0,,0,0,3,1,1 Campus,0,,Yes,R1 - Residnetial 1 dwelling per acre,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0,0,0,0,0,0,0,0,,,"(39.181527, -76.669016)"
Centre Street,33,Centre Street,Light Rail,Baltimore City,Downtown,586468,Walk-up,3,1,4,4,5,5,5,1,2,BaltimoreLink Core Bus,"120, CityLink Pink","120, CityLink Pink",,,,,462.53,,,,,,,,,,114,,,,,108,On Grade & In Street Right-of-Way,No,Yes,Yes,Yes,Yes,No,No,0,No,0,0,0,0,,,0,,0,373.119,8,0,N/A,0,,Yes,"OR-2 Office, Residential",http://cityview.baltimorecity.gov/,,951,207,15,311,697,20,0,0,,,"(39.296338, -76.620252)"
Upton,12,Upton,Metro,Baltimore City,Urban Neighborhood,608105,Neighborhood,5,1,3,4,5,5,4,1,2,BaltimoreLink Core Bus,CityLink Lime,CityLink Lime,,,,1708.91,,,,,902.25,,,,,117,,,,,71,,Below Grade,No,Yes,Yes,No,No,No,Yes,0,No,0,0,0,0,,,0,0,0,352.744,8,0,N/A,0,,Yes,OS Open Space,http://cityview.baltimorecity.gov/,,10,225,7,346,0,4,0,0,,,"(39.304782, -76.63686)"
